Arating,Grating,votes
7.29,6.901,4812
7.06,6.900,11751
7.16,6.899,7478
7.21,6.899,6211
7.47,6.898,3184
7.40,6.898,4345
7.52,6.897,2878
7.45,6.897,3354
7.05,6.896,13565
7.64,6.894,2539
7.30,6.894,4479
7.99,6.892,1625
7.80,6.892,2170
7.04,6.892,13962
7.08,6.891,30172
7.54,6.890,2907
7.19,6.889,5815
7.04,6.888,14954
7.54,6.886,2990
7.82,6.883,1845
7.28,6.883,4706
7.09,6.879,8593
8.12,6.877,1598
8.15,6.876,1564
7.04,6.874,15963
7.68,6.873,2107
8.23,6.873,1359
7.14,6.872,6565
7.37,6.870,3403
7.30,6.870,4431
7.45,6.869,3467
7.43,6.869,3674
7.66,6.868,2182
7.13,6.867,6761
7.11,6.866,7452
7.26,6.866,4490
7.33,6.865,3657
7.37,6.865,3720
6.99,6.864,15155
7.75,6.864,1947
7.14,6.864,6113
8.15,6.863,1465
7.10,6.859,7435
6.99,6.859,16626
8.11,6.859,1523
7.10,6.858,7738
7.01,6.857,19274
7.21,6.855,5136
7.28,6.854,4203
7.21,6.853,5247
7.03,6.852,11886
7.28,6.850,4057
7.94,6.850,1561
6.99,6.849,15721
7.55,6.847,2642
7.56,6.846,2421
7.78,6.846,2008
6.97,6.846,15886
8.24,6.845,1285
7.30,6.844,3800
7.24,6.843,5440
8.00,6.840,1927
7.39,6.840,3607
7.28,6.838,4369
7.06,6.837,7824
7.59,6.837,2315
7.71,6.836,1959
7.42,6.836,3087
7.12,6.835,6342
7.35,6.835,3161
7.45,6.834,2740
7.26,6.834,4893
7.15,6.833,5881
7.61,6.833,2205
7.34,6.833,3285
8.06,6.833,1421
8.07,6.833,1324
7.29,6.831,3648
7.29,6.831,4928
7.54,6.829,2363
7.46,6.828,2812
8.01,6.827,1549
7.53,6.827,2338
7.65,6.826,2286
7.23,6.826,4214
7.25,6.825,3848
7.56,6.824,2372
7.49,6.824,2931
7.44,6.822,2805
7.54,6.821,2519
7.27,6.821,3963
7.22,6.820,4985
7.23,6.820,4076
7.27,6.819,3816
7.40,6.818,2991
7.04,6.818,8197
7.09,6.817,6972
8.07,6.817,1367
7.31,6.816,3635
7.40,6.815,2765
7.05,6.815,11121
7.03,6.812,10464
7.91,6.812,1499
7.21,6.811,4321
7.03,6.810,7679
7.36,6.810,3351
7.12,6.808,5304
7.05,6.808,7151
7.72,6.807,1770
7.16,6.805,4994
7.09,6.805,6554
7.14,6.803,4789
6.95,6.801,11886
7.87,6.801,1557
7.46,6.799,2734
7.09,6.799,6792
7.62,6.799,2147
6.99,6.797,11182
7.10,6.796,9637
7.78,6.795,1671
7.55,6.795,2139
7.07,6.792,6254
7.31,6.792,3154
6.91,6.791,19849
7.20,6.791,4018
6.96,6.789,10322
7.18,6.789,4197
7.10,6.788,5712
7.27,6.788,3223
7.15,6.788,4705
7.26,6.787,3710
7.28,6.786,3474
7.44,6.786,2610
7.11,6.785,5379
7.85,6.785,2206
7.19,6.785,4079
7.18,6.782,4316
7.18,6.782,4042
7.31,6.781,3210
7.70,6.781,1840
7.28,6.779,3481
6.96,6.778,9806
7.20,6.776,4433
7.04,6.774,7060
6.97,6.774,9616
7.83,6.773,1615
7.12,6.772,4608
7.51,6.771,2475
7.32,6.771,3162
7.20,6.770,3700
7.33,6.769,3054
7.79,6.769,1898
7.08,6.767,5184
7.21,6.764,3505
7.18,6.764,3820
7.21,6.763,3625
7.36,6.763,2738
6.97,6.763,13020
7.17,6.762,5271
7.98,6.762,1632
7.03,6.761,6204
8.01,6.760,1616
7.21,6.759,3852
7.23,6.758,3408
7.27,6.757,3252
7.09,6.754,5475
6.92,6.754,11105
6.88,6.753,15353
7.29,6.752,3065
7.83,6.752,1494
7.02,6.751,6497
7.14,6.750,4036
7.54,6.750,2063
7.31,6.750,2828
7.00,6.749,7198
7.11,6.748,4576
7.37,6.746,2547
7.56,6.745,1994
6.89,6.744,10848
7.79,6.743,1577
7.04,6.742,5985
7.31,6.742,2975
7.90,6.738,1390
7.07,6.737,4758
6.97,6.737,7689
7.47,6.737,2665
6.89,6.736,11950
7.01,6.736,6154
6.99,6.735,7444
7.10,6.733,4456
7.03,6.732,5980
6.82,6.732,35057
7.06,6.730,4901
7.32,6.730,2614
7.14,6.728,3721
7.18,6.727,3451
7.26,6.726,2984
7.34,6.726,2746
7.20,6.726,3243
7.20,6.723,3306
7.53,6.719,1967
7.33,6.717,2525
7.46,6.717,2041
7.45,6.716,2226
7.12,6.716,3877
7.36,6.715,2558
6.99,6.715,5549
6.83,6.714,14599
7.40,6.713,2200
7.05,6.713,4456
7.61,6.713,2028
7.24,6.711,3740
7.73,6.711,1549
6.85,6.710,12927
7.16,6.710,3670
7.13,6.708,3837
7.22,6.706,3623
7.12,6.706,4196
7.09,6.706,4298
